query_id,dataset_id,province,query_type,query,purpose,allowed_use
q0013,andalucia,Granada,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Granada""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0014,andalucia,Granada,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Granada""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0015,andalucia,Granada,official_local_distributor_zone,"""distribuidora eléctrica"" ""Granada"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0016,andalucia,Granada,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Granada"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0017,andalucia,Huelva,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Huelva""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0018,andalucia,Huelva,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Huelva""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0019,andalucia,Huelva,official_local_distributor_zone,"""distribuidora eléctrica"" ""Huelva"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0020,andalucia,Huelva,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Huelva"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0021,andalucia,Jaén,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Jaén""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0022,andalucia,Jaén,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Jaén""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0023,andalucia,Jaén,official_local_distributor_zone,"""distribuidora eléctrica"" ""Jaén"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0024,andalucia,Jaén,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Jaén"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0025,andalucia,Málaga,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Málaga""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0026,andalucia,Málaga,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Málaga""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0027,andalucia,Málaga,official_local_distributor_zone,"""distribuidora eléctrica"" ""Málaga"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0028,andalucia,Málaga,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Málaga"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0029,andalucia,Sevilla,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Sevilla""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0030,andalucia,Sevilla,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Sevilla""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0031,andalucia,Sevilla,official_local_distributor_zone,"""distribuidora eléctrica"" ""Sevilla"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0032,andalucia,Sevilla,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Sevilla"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0033,aragon,Albacete,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Albacete""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0034,aragon,Albacete,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Albacete""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0035,aragon,Albacete,official_local_distributor_zone,"""distribuidora eléctrica"" ""Albacete"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0036,aragon,Albacete,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Albacete"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0037,aragon,Guadalajara,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Guadalajara""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0038,aragon,Guadalajara,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Guadalajara""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0039,aragon,Guadalajara,official_local_distributor_zone,"""distribuidora eléctrica"" ""Guadalajara"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0040,aragon,Guadalajara,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Guadalajara"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0041,aragon,Huesca,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Huesca""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0042,aragon,Huesca,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Huesca""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0043,aragon,Huesca,official_local_distributor_zone,"""distribuidora eléctrica"" ""Huesca"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0044,aragon,Huesca,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Huesca"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0045,aragon,Navarra,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Navarra""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0046,aragon,Navarra,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Navarra""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0047,aragon,Navarra,official_local_distributor_zone,"""distribuidora eléctrica"" ""Navarra"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0048,aragon,Navarra,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Navarra"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0049,aragon,Teruel,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Teruel""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0050,aragon,Teruel,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Teruel""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0051,aragon,Teruel,official_local_distributor_zone,"""distribuidora eléctrica"" ""Teruel"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0052,aragon,Teruel,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Teruel"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0053,aragon,Toledo,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Toledo""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0054,aragon,Toledo,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Toledo""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0055,aragon,Toledo,official_local_distributor_zone,"""distribuidora eléctrica"" ""Toledo"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0056,aragon,Toledo,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Toledo"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0057,aragon,Zaragoza,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Zaragoza""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0058,aragon,Zaragoza,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Zaragoza""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0059,aragon,Zaragoza,official_local_distributor_zone,"""distribuidora eléctrica"" ""Zaragoza"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0060,aragon,Zaragoza,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Zaragoza"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0061,aragon,Ávila,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Ávila""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0062,aragon,Ávila,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Ávila""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0063,aragon,Ávila,official_local_distributor_zone,"""distribuidora eléctrica"" ""Ávila"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0064,aragon,Ávila,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Ávila"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0065,catalunya,Barcelona,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Barcelona""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0066,catalunya,Barcelona,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Barcelona""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0067,catalunya,Barcelona,official_local_distributor_zone,"""distribuidora eléctrica"" ""Barcelona"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0068,catalunya,Barcelona,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Barcelona"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0069,catalunya,Girona,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Girona""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0070,catalunya,Girona,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Girona""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0071,catalunya,Girona,official_local_distributor_zone,"""distribuidora eléctrica"" ""Girona"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0072,catalunya,Girona,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Girona"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0073,catalunya,Lleida,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Lleida""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0074,catalunya,Lleida,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Lleida""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0075,catalunya,Lleida,official_local_distributor_zone,"""distribuidora eléctrica"" ""Lleida"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0076,catalunya,Lleida,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Lleida"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0077,catalunya,Tarragona,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Tarragona""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0078,catalunya,Tarragona,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Tarragona""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0079,catalunya,Tarragona,official_local_distributor_zone,"""distribuidora eléctrica"" ""Tarragona"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0080,catalunya,Tarragona,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Tarragona"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0081,extremadura,Badajoz,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Badajoz""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0082,extremadura,Badajoz,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Badajoz""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0083,extremadura,Badajoz,official_local_distributor_zone,"""distribuidora eléctrica"" ""Badajoz"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0084,extremadura,Badajoz,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Badajoz"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0085,extremadura,Cáceres,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Cáceres""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0086,extremadura,Cáceres,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Cáceres""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0087,extremadura,Cáceres,official_local_distributor_zone,"""distribuidora eléctrica"" ""Cáceres"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0088,extremadura,Cáceres,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Cáceres"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
