municipio,province,candidate_distributor,confidence,source_name,source_url,source_type,review_status,notes
Vilagarcía de Arousa,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 80/2026 UFD en Vilagarcía de Arousa,https://www.xunta.gal/dog/Publicados/2026/20260430/AnuncioG0760-090426-0005_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
O Porriño,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 87/2024 UFD en O Porriño,https://www.xunta.gal/dog/Publicados/2024/20240503/AnuncioG0692-090424-0011_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
Redondela,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 109/2024 UFD en Redondela,https://www.xunta.gal/dog/Publicados/2024/20240606/AnuncioG0763-150524-0010_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
Marín,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 195/2025 UFD en Marín,https://www.xunta.gal/dog/Publicados/2025/20251009/AnuncioG0763-110825-0008_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como distribuidora de zona en el ayuntamiento. No afirma exclusividad total.
Lalín,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 175/2025 UFD en Lalín,https://www.xunta.gal/dog/Publicados/2025/20250911/AnuncioG0763-110825-0007_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como distribuidora de zona en el ayuntamiento. No afirma exclusividad total.
Salvaterra de Miño,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 170/2025 UFD en Salvaterra de Miño,https://www.xunta.gal/dog/Publicados/2025/20250904/AnuncioG0763-280825-0002_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como distribuidora de zona en el ayuntamiento. No afirma exclusividad total.
A Estrada,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 115/2024 UFD en A Estrada,https://www.xunta.gal/dog/Publicados/2024/20240614/AnuncioG0763-270524-0005_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
Cambados,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 108/2025 UFD en Cambados,https://www.xunta.gal/dog/Publicados/2025/20250609/AnuncioG0763-190525-0002_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
Cangas,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 160/2025 UFD en Cangas,https://www.xunta.gal/dog/Publicados/2025/20250822/AnuncioG0763-310725-0001_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
Sanxenxo,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 39/2026 UFD en Sanxenxo,https://www.xunta.gal/dog/Publicados/2026/20260227/AnuncioG0763-060226-0008_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
Vilaboa,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 4/2025 UFD en Vilaboa,https://www.xunta.gal/dog/Publicados/2025/20250108/AnuncioG0763-131224-0004_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación/beneficiaria UFD en el municipio. No afirma exclusividad total.
A Cañiza,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 235/2024 UFD en A Cañiza,https://www.xunta.gal/dog/Publicados/2024/20241205/AnuncioG0763-141124-0008_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como beneficiaria en instalación del ayuntamiento. No afirma exclusividad total.
A Guarda,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 48/2024 UFD en A Guarda,https://www.xunta.gal/dog/Publicados/2024/20240307/AnuncioG0692-160224-0006_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como promotora en instalación del ayuntamiento. No afirma exclusividad total.
Mos,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 238/2025 UFD en Mos,https://www.xunta.gal/dog/Publicados/2025/20251210/AnuncioG0763-191125-0002_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD en instalación de distribución en el ayuntamiento. No afirma exclusividad total.
Nigrán,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 152/2025 UFD en Nigrán,https://www.xunta.gal/dog/Publicados/2025/20250811/AnuncioG0763-180725-0002_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como promotora en actuación situada en el ayuntamiento. No afirma exclusividad total.
Bueu,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 149/2024 UFD en Bueu,https://www.xunta.gal/dog/Publicados/2024/20240802/AnuncioG0763-120724-0002_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como promotora en instalación del ayuntamiento. No afirma exclusividad total.
Moaña,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 84/2025 UFD en Moaña,https://www.xunta.gal/dog/Publicados/2025/20250505/AnuncioG0763-100425-0001_es.html,official_public_notice,matched_dog_ufd_manual,DOG otorga a UFD autorización para instalación de distribución en el ayuntamiento. No afirma exclusividad total.
Poio,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 234/2024 UFD en Poio,https://www.xunta.gal/dog/Publicados/2024/20241204/AnuncioG0763-131124-0004_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como beneficiaria en instalación del ayuntamiento. No afirma exclusividad total.
Soutomaior,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 240/2023 UFD en Soutomaior,https://www.xunta.gal/dog/Publicados/2023/20231220/AnuncioG0692-281123-0001_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como beneficiaria en instalación del ayuntamiento. No afirma exclusividad total.
Dumbría,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 70/2026 UFD en Dumbría,https://www.xunta.gal/dog/Publicados/2026/20260416/AnuncioG0763-240326-0006_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con solicitante/promotora UFD. No afirma exclusividad total.
Cabana de Bergantiños,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 179/2025 UFD en Cabana de Bergantiños,https://www.xunta.gal/dog/Publicados/2025/20250917/AnuncioG0763-270825-0010_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con solicitante/promotora UFD. No afirma exclusividad total.
Rianxo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 49/2026 UFD en Rianxo,https://www.xunta.gal/dog/Publicados/2026/20260313/AnuncioG0763-200226-0008_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Ourense,Ourense,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 38/2026 UFD en Ourense,https://www.xunta.gal/dog/Publicados/2026/20260226/AnuncioG0763-040226-0011_es.html,official_public_notice,matched_dog_url_seed,DOG identifica infraestructura de distribución eléctrica en el término municipal de Ourense promovida por UFD. No afirma exclusividad total.
Boiro,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 80/2026 UFD en Boiro,https://www.xunta.gal/dog/Publicados/2026/20260430/AnuncioG0763-090426-0011_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con solicitante/promotora UFD. No afirma exclusividad total.
Noia,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 151/2025 UFD en Noia,https://www.xunta.gal/dog/Publicados/2025/20250808/AnuncioG0763-170725-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
A Pobra do Caramiñal,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 220/2024 UFD en A Pobra do Caramiñal,https://www.xunta.gal/dog/Publicados/2024/20241114/AnuncioG0763-211024-0034_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Porto do Son,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 60/2026 UFD en Porto do Son,https://www.xunta.gal/dog/Publicados/2026/20260331/AnuncioG0763-090326-0009_es.html,official_public_notice,matched_dog_url_seed,DOG identifica ayuntamiento incluido en actuación de UFD junto con otros municipios. No afirma exclusividad total.
Ferrol,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 63/2026 UFD en Ferrol,https://www.xunta.gal/dog/Publicados/2026/20260407/AnuncioG0763-120326-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Bergondo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 66/2026 UFD en Bergondo,https://www.xunta.gal/dog/Publicados/2026/20260410/AnuncioG0763-180326-0002_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación eléctrica en el ayuntamiento con beneficiaria UFD. No afirma exclusividad total.
Betanzos,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 156/2025 UFD en Betanzos,https://www.xunta.gal/dog/Publicados/2025/20250818/AnuncioG0763-240725-0015_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Cambre,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 64/2026 UFD en Cambre,https://www.xunta.gal/dog/Publicados/2026/20260408/AnuncioG0763-180326-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento a favor de UFD. No afirma exclusividad total.
Culleredo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 151/2025 UFD en Culleredo,https://www.xunta.gal/dog/Publicados/2025/20250808/AnuncioG0763-170725-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Oleiros,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 77/2026 UFD en Oleiros,https://www.xunta.gal/dog/Publicados/2026/20260427/AnuncioG0763-170426-0001_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Sada,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 82/2026 UFD en Sada,https://www.xunta.gal/dog/Publicados/2026/20260505/AnuncioG0763-130426-0015_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación eléctrica en el ayuntamiento con UFD. No afirma exclusividad total.
Padrón,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 63/2026 UFD en Padrón,https://www.xunta.gal/dog/Publicados/2026/20260407/AnuncioG0763-120326-0011_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Teo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 163/2025 UFD en Teo,https://www.xunta.gal/dog/Publicados/2025/20250827/AnuncioG0763-050825-0005_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Rois,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 188/2025 UFD en Rois,https://www.xunta.gal/dog/Publicados/2025/20250930/AnuncioG0763-090925-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Ribeira,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 81/2026 UFD en Ribeira,https://www.xunta.gal/dog/Publicados/2026/20260504/AnuncioG0763-130426-0002_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Fisterra,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 53/2026 UFD en Fisterra,https://www.xunta.gal/dog/Publicados/2026/20260320/AnuncioG0763-260226-0002_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el término municipal con solicitante/promotora UFD. No afirma exclusividad total.
Cee,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 42/2025 UFD en Cee,https://www.xunta.gal/dog/Publicados/2025/20250303/AnuncioG0763-100225-0008_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Aranga,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 51/2026 UFD en Aranga,https://www.xunta.gal/dog/Publicados/2026/20260317/AnuncioG0763-240226-0004_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Ares,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 52/2026 UFD en Ares,https://www.xunta.gal/dog/Publicados/2026/20260318/AnuncioG0763-250226-0004_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Boimorto,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 52/2026 UFD en Boimorto,https://www.xunta.gal/dog/Publicados/2026/20260318/AnuncioG0763-250226-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Brión,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 185/2025 UFD en Brión,https://www.xunta.gal/dog/Publicados/2025/20250925/AnuncioG0763-040925-0009_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Cariño,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 35/2026 UFD en Cariño,https://www.xunta.gal/dog/Publicados/2026/20260223/AnuncioG0763-300126-0005_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Carnota,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 93/2021 UFD en Carnota,https://www.xunta.gal/dog/Publicados/2021/20210520/AnuncioG0596-270421-0002_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Cedeira,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 139/2024 UFD en Cedeira,https://www.xunta.gal/dog/Publicados/2024/20240718/AnuncioG0763-260624-0023_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Coirós,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 36/2024 UFD en Coirós,https://www.xunta.gal/dog/Publicados/2024/20240220/AnuncioG0692-300124-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Corcubión,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 43/2024 UFD en Corcubión,https://www.xunta.gal/dog/Publicados/2024/20240229/AnuncioG0692-080224-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Coristanco,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 160/2025 UFD en Coristanco,https://www.xunta.gal/dog/Publicados/2025/20250822/AnuncioG0763-310725-0008_es.html,official_public_notice,matched_dog_url_seed,DOG identifica actuación de distribución eléctrica en el ayuntamiento con solicitante UFD. No afirma exclusividad total.
Curtis,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 43/2026 UFD en Curtis,https://www.xunta.gal/dog/Publicados/2026/20260305/AnuncioG0763-110226-0004_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Malpica de Bergantiños,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 57/2026 UFD en Malpica de Bergantiños,https://www.xunta.gal/dog/Publicados/2026/20260326/AnuncioG0763-050326-0002_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación eléctrica en el ayuntamiento con entidad beneficiaria UFD. No afirma exclusividad total.
Monfero,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 82/2026 UFD en Monfero,https://www.xunta.gal/dog/Publicados/2026/20260505/AnuncioG0763-130426-0006_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el concello con promotora UFD. No afirma exclusividad total.
Mugardos,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 39/2025 UFD en Mugardos,https://www.xunta.gal/dog/Publicados/2025/20250226/AnuncioG0763-050225-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Muros,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 70/2026 UFD en Muros,https://www.xunta.gal/dog/Publicados/2026/20260416/AnuncioG0763-240326-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución de energía eléctrica en el ayuntamiento con solicitante/promotor UFD. No afirma exclusividad total.
Miño,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 98/2023 UFD en Miño,https://www.xunta.gal/dog/Publicados/2023/20230525/AnuncioV0653-190523-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica infraestructura eléctrica promovida por UFD en términos municipales que incluyen Miño. No afirma exclusividad total.
Vilarmaior,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 98/2023 UFD en Vilarmaior,https://www.xunta.gal/dog/Publicados/2023/20230525/AnuncioV0653-190523-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica infraestructura eléctrica promovida por UFD en términos municipales que incluyen Vilarmaior. No afirma exclusividad total.
Outes,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 38/2026 UFD en Outes,https://www.xunta.gal/dog/Publicados/2026/20260226/AnuncioG0763-040226-0008_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución de energía eléctrica en el ayuntamiento con solicitante UFD. No afirma exclusividad total.
A Coruña,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 9/2024 UFD en A Coruña,https://www.xunta.gal/dog/Publicados/2024/20240112/AnuncioG0692-211223-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Dodro,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 82/2026 UFD en Dodro,https://www.xunta.gal/dog/Publicados/2026/20260505/AnuncioG0763-160426-0012_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación eléctrica en el ayuntamiento con beneficiaria UFD. No afirma exclusividad total.
Irixoa,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Lousame,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Mañón,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Muxía,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Ortigueira,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Paderne,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Ponteceso,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Pontedeume,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Sobrado,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
